Rio,"$17,181"
Ripley,"$12,210"
River Forest,"$46,123"
River Grove,"$20,390"
Riverdale,"$14,461"
Riverside,"$34,712"
Riverton,"$20,678"
Riverwoods,"$67,878"
Roanoke,"$24,489"
Robbins,"$9,837"
Roberts,"$17,926"
Robinson,"$16,637"
Rochelle,"$18,139"
Rochester,"$26,881"
Rock City,"$20,920"
Rock Falls,"$16,524"
Rock Island,"$19,202"
Rock Island Arsenal,"$15,710"
Rockbridge,"$16,243"
Rockdale,"$18,738"
Rockford,"$19,781"
Rockton,"$24,078"
Rockwood,"$9,387"
Rolling Meadows,"$26,178"
Rome,"$18,345"
Romeoville,"$21,221"
Roodhouse,"$12,281"
Roscoe,"$25,324"
Rose Hill,"$17,510"
Roselle,"$28,501"
Rosemont,"$19,781"
Roseville,"$16,225"
Rosewood Heights,"$20,527"
Rosiclare,"$15,398"
Rossville,"$16,794"
Round Lake,"$21,585"
Round Lake Beach,"$18,113"
Round Lake Heights,"$17,868"
Round Lake Park,"$18,279"
Roxana,"$20,511"
Royal,"$22,019"
Royal Lakes,"$10,049"
Royalton,"$15,778"
Ruma,"$16,176"
Rushville,"$16,180"
Russellville,"$11,843"
Rutland,"$16,892"
Sadorus,"$18,540"
Sailor Springs,"$12,785"
Salem,"$16,954"
San Jose,"$18,110"
Sandoval,"$14,739"
Sandwich,"$19,530"
Sauget,"$19,330"
Sauk Village,"$16,598"
Saunemin,"$15,439"
Savanna,"$15,150"
Savoy,"$25,949"
Sawyerville,"$13,415"
Saybrook,"$16,671"
Scales Mound,"$15,992"
Schaumburg,"$30,587"
Schiller Park,"$17,781"
Schram City,"$16,994"
Sciota,"$15,280"
Scott AFB,"$15,421"
Scottville,"$14,362"
Seaton,"$35,832"
Seatonville,"$26,197"
Secor,"$22,635"
Seneca,"$19,273"
Sesser,"$15,378"
Shabbona,"$20,239"
Shannon,"$21,108"
Shawneetown,"$17,834"
Sheffield,"$17,723"
Shelbyville,"$17,596"
Sheldon,"$15,627"
Sheridan,"$11,352"
Sherman,"$27,491"
Sherrard,"$18,967"
Shiloh,"$25,550"
